id,feature_type_id,name,title,description,type,is_required,is_unique,enum,pattern,min_length,max_length,reference_target
4eb6f3c060c5d7922c614bfa4b4b8adc,05c3929fac32a948e13f52c92df22496,ANNEE_COG,,,Date,t,f,,,,,
7d3dad307ba7779c6f81b90910b041b3,05c3929fac32a948e13f52c92df22496,CODE_INSEE,,"Valeur vide interdite",String,f,f,,^[0-9][0-9AB][0-9]{3}$,,5,
a7bdf4ddaf3bed849093bdabd23aa16c,05c3929fac32a948e13f52c92df22496,NOM_SI_EXT,,"Valeur vide interdite",String,f,f,,,,50,
af5e52f07376e901252eb4b207dcf7aa,05c3929fac32a948e13f52c92df22496,HAB_SAISON,,,Integer,t,f,,,,,
d564f02da3f15c63560068d6b1f080af,05c3929fac32a948e13f52c92df22496,NOM_COM,,,String,t,f,,,,80,
d7ca959ba3ee559bbd60dfc355ff2010,05c3929fac32a948e13f52c92df22496,VER_SI_EXT,,,String,t,f,,,,10,
d872e16c5ef763a0f2fb7b31a87c1e0d,05c3929fac32a948e13f52c92df22496,ID_SI_EXT,,"Valeur vide interdite",String,f,f,,,,50,
df7a04c44bc696573bd61a1d00fdd7ad,05c3929fac32a948e13f52c92df22496,TX_HAB_SAI,,,Integer,t,f,,,,,
e30c3cf18146e37358d443a964e27084,05c3929fac32a948e13f52c92df22496,HAB_PERM,,"Valeur vide interdite",Integer,f,f,,,,,
e4dc0f06020bf7bfe46dfcf38816748b,05c3929fac32a948e13f52c92df22496,WKT,,,MultiPolygon,f,f,,,,,
e515cc976523bb8a1bfca0da60b826b0,05c3929fac32a948e13f52c92df22496,DATENTREE,,,Date,t,f,,,,,
f51a0a36b2e22a1d7235c5ffdcb7deb8,05c3929fac32a948e13f52c92df22496,DATSORTIE,,,Date,t,f,,,,,
1bd2a37619e39921a37032f9a35d3f61,08184a2768da79cf74ec4f3ed15ce68d,DATFINVAL,,,Date,t,f,,,,,
33d6bf13c85b065a47debdbedb28e922,08184a2768da79cf74ec4f3ed15ce68d,DATAPPRO,,,Date,t,f,,,,,
36f7b243777e8a3f311cf4ed01965c50,08184a2768da79cf74ec4f3ed15ce68d,ID_TRI,,"Valeur vide interdite",String,f,f,,,,,N_prefixTri_TRI_S_ddd.ID_TRI
af04c65418d8e5fd18045c2a6414cf65,08184a2768da79cf74ec4f3ed15ce68d,ID_CARTE,,"COVADIS B1.2. - Identifiant de type CRI_[numero]",String,f,t,,CRI_[0-9]+$,,30,
b952bcc9638681312dcffe31e4cb3e92,08184a2768da79cf74ec4f3ed15ce68d,URLRAPPORT,,"Valeur vide interdite",String,f,f,,,,254,
dc29321dd26d263e3521ff18a7c5949f,08184a2768da79cf74ec4f3ed15ce68d,WKT,,,MultiPolygon,f,f,,,,,
0ce6fcb39fd852465b2f12129384b335,19029ec8b2f9eaabc179938237f3b607,ID_ZONE,,,String,t,f,,,,,
0f06d05836ae8b2f93e21011802d65aa,19029ec8b2f9eaabc179938237f3b607,EST_REF,,,String,t,f,"[""T"",""F""]",,,,
1c460be5b298f4471f335e9adffe390f,19029ec8b2f9eaabc179938237f3b607,SCENARIO,,"Valeur vide interdite",String,f,f,"[""04Fai_100"",""04Faicc_ct"",""01Forcc_ct"",""01Forcc_100"",""03Mcc_ct"",""04Fai"",""01For"",""02Moy"",""03Mcc""]",,,,
2f8ce8a147b5aef38d68128062b75e03,19029ec8b2f9eaabc179938237f3b607,ID_TRI,,"Valeur nulle interdite",String,f,f,,,,,N_prefixTri_TRI_S_ddd.ID_TRI
